cnpj,data_atualizacao,nivel_atividade,empresa_porte,saude_tributaria,optante_simples,optante_simei
18769322000165,2023-05-28 01:34:12.591974,,,,,
45952550000149,2023-05-28 01:34:12.591974,,,,,
37010213000104,2023-05-28 01:34:12.591974,,,,,
13684541000128,2023-05-28 01:34:12.591974,,,,,
24368216000172,2023-05-28 01:34:12.591974,,,,,
03210274000101,2023-05-28 01:34:12.591974,,,,,
45997610000140,2023-05-28 01:34:12.591974,,,,,
10572071021039,2023-05-28 01:34:12.591974,,,,,
37399564000159,2023-05-28 01:34:12.591974,,,,,
39255766000152,2023-05-28 01:34:12.591974,,,,,
24505714000110,2023-05-28 01:34:12.591974,,,,,
02105196000104,2023-05-28 01:34:12.591974,,,,,
24418357000152,2023-05-28 01:34:12.591974,,,,,
16743802000121,2023-05-28 01:34:12.591974,,,,,
32124273000134,2023-05-28 01:34:12.591974,,,,,
31446203000130,2023-05-28 01:34:12.591974,,,,,
54916283000145,2023-05-28 01:34:12.591974,,,,,
04157329000111,2023-05-28 01:34:12.591974,,,,,
33377779000118,2023-05-28 01:34:12.591974,,,,,
38268499000195,2023-05-28 01:34:12.591974,,,,,
19146383000139,2023-05-28 01:34:12.591974,,,,,
78626934000120,2023-05-28 01:34:12.591974,,,,,
10375334000101,2023-05-28 01:34:12.591974,,,,,
31150688000110,2023-05-28 01:34:12.591974,,,,,
46143180000161,2023-05-28 01:34:12.591974,,,,,
14283434000150,2023-05-28 01:34:12.591974,,,,,
27108599000138,2023-05-28 01:34:12.591974,,,,,
03017617000108,2023-05-28 01:34:12.591974,,,,,
32616133000183,2023-05-28 01:34:12.591974,,,,,
37655566000161,2023-05-28 01:34:12.591974,,,,,
33310836000141,2023-05-28 01:34:12.591974,,,,,
34666953000105,2023-05-28 01:34:12.591974,,,,,
42200239000155,2023-05-28 01:34:12.591974,,,,,
42168821000181,2023-05-28 01:34:12.591974,,,,,
42161904000149,2023-05-28 01:34:12.591974,,,,,
12991187000111,2023-05-28 01:34:12.591974,,,,,
42199788000157,2023-05-28 01:34:12.591974,,,,,
33098658101910,2023-05-28 01:34:12.591974,,,,,
